Classes Theme,Week Day,Date,Class Slides,Homework,Notes,Units,,
"Alphabet, Greeetings and Introduction",Friday,14/03/2025,14/03 - Alphabet and Introductions,English Course - A1 Curriculum,,,,
Expanding Greetings ,Monday,17/03/2025,17/03 - Expanding Greetings,Original - Homework - 17/03,,,,
Numbers,Friday,21/03/2025,21/03 - Numbers and Going into a shop,Original - Homework - 21/03,,,,
Numbers and Shopping,Monday,24/03/2025,24/03 - Numbers & Shopping II,Original - Homework - 24/03,"Se voce quiser baixar para imprimir apenas o Caça-Palavras, so me podir que envio o documento para voce.  ",,Endereco da Pasta Englsih Classes A1,https://drive.google.com/drive/folders/1w-oyDh2NxXmfOLzl6IedosP0hLoukFUec6xvWSwGjL7E79cE-BHPzrkYvctFhLV4w3KsbPga
More numbers and Shopping,Friday,28/03/2025,28/03 - More numbers and Shopping,Original - Homework - 28/03,,,,
Clothes & Colours ,Monday,31/03/2025,31/03 - Shopping & Colours,Original - Homework - 31/03,Faltas: Zilda. Fechamento do primeiro mes de aulas.,,,
"Shopping Clothes, Coulours and Grammar rules",Friday,04/04/2025,04/04 - Shopping Clothes and Colours,Original - Homework - 04/04,,,,
General Review,Monday,07/04/2025,07/04 - Review TIme,Original -  Holiday Practice Pack - 07/04,Extra Resources ,,,
Break Homework Review,Monday,21/04/2025,21/04 - Break Homework Review,,No Homework,,,
To Have and simple adjectives,Monday,28/04/2025,28/04 - To Have and simple adjectives,Original - Homework - 28/04,Fechamento mes de aulas,,,
"To like, Places and Yes and No questions ",Friday,02/05/2025,"02/05 - ""To like"" + common nouns: places",Original - Homework - 02/05,,,,
"Questions and ""To go""",Monday,05/05/2025,05/05 - Questions: Y/N answer and WH - questions,Original - Homework - 05/05,,,,
Homework Correction,Friday,09/05/2025,09/05 - Questions Practice,"28/04 - ""To Have"" and simple adjectives",Faltas: Zilda,,,
Big Unit 2 Review,Monday,12/05/2025,12/05 - Big Unit 2 Review,Original - Homework - 12/05,"Verbs List
Faltas: Sandra",,,
Big Unit 2 Review,Monday,19/05/2025,19/05 - 30/05 - Big Unit 2 Review Part 2,Original - Homework - 12/05,,,,
Big Unit 2 Review,Friday,23/05/2025,19/05 - 30/05 - Big Unit 2 Review Part 2,Original - Homework - 12/05,Faltas: ZIlda,,,
Big Unit 2 Review,Monday,26/05/2025,19/05 - 30/05 - Big Unit 2 Review Part 2,Original - Homework - 12/05,,,,
Big Unit 2 Review,Friday,30/05/2025,19/05 - 30/05 - Big Unit 2 Review Part 2,Original - Homework - 12/05,Fechamento mes de aulas,,,
Days of the Week,Monday,02/06/2025,02/06 - Days of the Week,Original Homework - 02/06,Faltas: Zilda,,,
Times of the Day,Friday,06/06/2025,06/06 -  Times of the Day,Original - Homework - 06/06,,,,
Meals,Monday,09/06/2025,09/06 - Meals,,,,,
Chicken Little video and Meals,Friday,13/06/2025,13/06 - Chicken Little,Original - Homework - 13/06,,,,
Chicken Little Part 2 and Questions,Monday,16/06/2025,16/06 - Chicken Little Part 2,Original - Homework - 13/06,,,,
Chicken Little Part 3,Friday,20/06/2025,20/06 - Chicken Little Part 3,Original - Homework - 20/06,,,,
,Monday,23/06/2025,,,Cancelled,,,
