Date,Unit,Absent,Notes,Cancelled,Slides URL,Homework URL
14/03/2025,"Alphabet, Greetings and Introduction",,,,https://docs.google.com/presentation/u/0/d/13OJtCrdlSvH1YVzZZ4U0Ju6D6x4p-Jt4kmGLJdkqkHM/edit,https://docs.google.com/document/u/0/d/1Az4nAEYrUUuuOaeKA2gN419YrISgcsx5mnoRCDewfT0/edit
17/03/2025,Expanding Greetings,,,,https://docs.google.com/presentation/u/0/d/1gcjR2rtnASYHyb1Hmk14ssPhtUs2JJT834AEazpXcUw/edit,https://docs.google.com/document/u/0/d/1ubEPT9LtARunFwRhZavENYojAc2bBNsm4OvxdnydtxI/edit
21/03/2025,Numbers,,,,https://docs.google.com/presentation/u/0/d/1KidhehsZwAcxMk9XIu2d7VYcrKsdHwIDgwWsYf5uYI0/edit,https://docs.google.com/document/u/0/d/1g5jK8-FMHwSOteK_BRqmeaQZdMGodcldhbhBorsMO5Y/edit
24/03/2025,Numbers and Shopping,,,,https://docs.google.com/presentation/u/0/d/1xknqRwMfa6bywtIIG5LFfZYavKtXlfSPfhkVa888snU/edit,https://docs.google.com/document/u/0/d/1Hmue-tWZG-v084mz2vA-nfyyEGu6gPIZDaUIclbxYRk/edit
28/03/2025,More numbers and Shopping,,Faltas: Zilda · Fechamento do 1º mês,,https://docs.google.com/presentation/u/0/d/1u0AbLFXc_cp1oy5NccvhgjC8b_0VfXD9VG7TXFtD0Qc/edit,https://docs.google.com/document/d/1t6l0gVaatUj-qrCtW48by8aHLP5P14nPlCp3CLJ_LkE/edit?usp=sharing
31/03/2025,Clothes & Colours,,,,https://docs.google.com/presentation/u/0/d/1_EN0eQHS3osJ8Z93lb7x4ovQWTF2bvOv0PF6SmxR7pc/edit,https://docs.google.com/document/u/0/d/1xql3lLtLFfTCXa4nAp4Rh2rDrSjOYT_Z7ReinIwcUTc/edit
04/04/2025,"Shopping Clothes, Colours and Grammar rules",,,,https://docs.google.com/presentation/u/0/d/1YALRAZRSJDL1CbvsUKI34fKrcg2PbSanz8NBzEPh5d4/edit,https://docs.google.com/document/u/0/d/10C-FZD9J_h2HW15Pmnr9Jo-hQlwKUZLLHJI1afbRn68/edit
07/04/2025,General Review,,,,https://docs.google.com/presentation/u/0/d/1pbrUvcG5TaE7t9qUDBnsBlgpKz1hSMn8HMga0SXdBaU/edit,https://docs.google.com/document/u/0/d/1gdADGXXhS7mLAx1c0s_bxxOj2_KvfF4rvgWBPJXcTCM/edit
21/04/2025,Break Homework Review,,No Homework,,https://docs.google.com/presentation/u/0/d/1nTx2QAHbiRJdFPiyK6R7t6esH7tXCLBuy29Ef5DPNoo/edit,
28/04/2025,To Have and simple adjectives,,Fechamento mês de aulas,,https://docs.google.com/presentation/u/0/d/14c2OWcTeKpj9AgdQ85U4oOcfK81BukkF-EK9yJfQPBY/edit,https://docs.google.com/document/u/0/d/1zo8OqEzs_g1jPEJVkIQ29MH5JvvZlEJUzKkzvD3PnH8/edit
