Classes Theme,Week Day,Date,Class Slides,Homework,Notes,Units,Column 1,,,,,,
"Alphabet, Greeetings and Introduction",Friday,14/03/2025,14/03 - Alphabet and Introductions,English Course - A1 Curriculum,,,https://docs.google.com/document/u/0/d/1Az4nAEYrUUuuOaeKA2gN419YrISgcsx5mnoRCDewfT0/edit,,,,,,
Expanding Greetings ,Monday,17/03/2025,17/03 - Expanding Greetings,Original - Homework - 17/03,,,https://docs.google.com/document/u/0/d/1ubEPT9LtARunFwRhZavENYojAc2bBNsm4OvxdnydtxI/edit,,,,,,
Numbers,Friday,21/03/2025,21/03 - Numbers and Going into a shop,Original - Homework - 21/03,,,https://docs.google.com/document/u/0/d/1g5jK8-FMHwSOteK_BRqmeaQZdMGodcldhbhBorsMO5Y/edit,,,,,,
Numbers and Shopping,Monday,24/03/2025,24/03 - Numbers & Shopping II,Original - Homework - 24/03,,,https://docs.google.com/document/u/0/d/1Hmue-tWZG-v084mz2vA-nfyyEGu6gPIZDaUIclbxYRk/edit,,,,,,
More numbers and Shopping,Friday,28/03/2025,28/03 - More numbers and Shopping,Original - Homework - 28/03,,,https://docs.google.com/document/d/1t6l0gVaatUj-qrCtW48by8aHLP5P14nPlCp3CLJ_LkE/edit?usp=sharing,,,,,,
Clothes & Colours ,Monday,31/03/2025,31/03 - Shopping & Colours,Original - Homework - 31/03,Faltas: Zilda. Fechamento do primeiro mes de aulas.,,https://docs.google.com/document/u/0/d/1xql3lLtLFfTCXa4nAp4Rh2rDrSjOYT_Z7ReinIwcUTc/edit,,,,,,
"Shopping Clothes, Coulours and Grammar rules",Friday,04/04/2025,04/04 - Shopping Clothes and Colours,Original - Homework - 04/04,,,https://docs.google.com/document/u/0/d/10C-FZD9J_h2HW15Pmnr9Jo-hQlwKUZLLHJI1afbRn68/edit,,,,,,
General Review,Monday,07/04/2025,07/04 - Review TIme,Original -  Holiday Practice Pack - 07/04,Extra Resources ,,https://docs.google.com/document/u/0/d/1gdADGXXhS7mLAx1c0s_bxxOj2_KvfF4rvgWBPJXcTCM/edit,,,,,,
Break Homework Review,Monday,21/04/2025,21/04 - Break Homework Review,,No Homework,,#REF!,,,,,,
To Have and simple adjectives,Monday,28/04/2025,28/04 - To Have and simple adjectives,Original - Homework - 28/04,Fechamento mes de aulas,,https://docs.google.com/document/u/0/d/1zo8OqEzs_g1jPEJVkIQ29MH5JvvZlEJUzKkzvD3PnH8/edit,,,,,,
"To like, Places and Yes and No questions ",Friday,02/05/2025,"02/05 - ""To like"" + common nouns: places",Original - Homework - 02/05,,,https://docs.google.com/document/u/0/d/1QH-qyM0OU0HquitMWg5hAWrReaG2NlIOAlLpGvgvnlY/edit,,,,,,
"Questions and ""To go""",Monday,05/05/2025,05/05 - Questions: Y/N answer and WH - questions,Original - Homework - 05/05,,,https://docs.google.com/document/u/0/d/1aWCN8H96FSHSww7sTkODPYnGrn8VWI54s7Cc1K64aB8/edit,,,,,,
Homework Correction,Friday,09/05/2025,09/05 - Questions Practice,"28/04 - ""To Have"" and simple adjectives",Faltas: Zilda,,https://docs.google.com/presentation/u/0/d/14c2OWcTeKpj9AgdQ85U4oOcfK81BukkF-EK9yJfQPBY/edit,,,,,,
Big Unit 2 Review,Monday,12/05/2025,12/05 - Big Unit 2 Review,Original - Homework - 12/05,"Verbs List
Faltas: Sandra",,https://docs.google.com/document/u/0/d/1mMX5EjFW1sk6IIWxbT4siqh0uB1OpR_Wlkun6idNvaI/edit,,,,,,
Big Unit 2 Review,Monday,19/05/2025,19/05 - 30/05 - Big Unit 2 Review Part 2,Original - Homework - 12/05,,,https://docs.google.com/document/u/0/d/1mMX5EjFW1sk6IIWxbT4siqh0uB1OpR_Wlkun6idNvaI/edit,,,,,,
Big Unit 2 Review,Friday,23/05/2025,19/05 - 30/05 - Big Unit 2 Review Part 2,Original - Homework - 12/05,Faltas: ZIlda,,https://docs.google.com/document/u/0/d/1mMX5EjFW1sk6IIWxbT4siqh0uB1OpR_Wlkun6idNvaI/edit,,,,,,
Big Unit 2 Review,Monday,26/05/2025,19/05 - 30/05 - Big Unit 2 Review Part 2,Original - Homework - 12/05,,,https://docs.google.com/document/u/0/d/1mMX5EjFW1sk6IIWxbT4siqh0uB1OpR_Wlkun6idNvaI/edit,,,,,,
Big Unit 2 Review,Friday,30/05/2025,19/05 - 30/05 - Big Unit 2 Review Part 2,Original - Homework - 12/05,Fechamento mes de aulas,,https://docs.google.com/document/u/0/d/1mMX5EjFW1sk6IIWxbT4siqh0uB1OpR_Wlkun6idNvaI/edit,,,,,,
