Classes Theme,Week Day,Date,Class Slides,Homework,Notes,Units,Extracted URLs,,,,,,
"Alphabet, Greeetings and Introduction",Friday,14/03/2025,14/03 - Alphabet and Introductions,English Course - A1 Curriculum,,,https://docs.google.com/presentation/u/0/d/13OJtCrdlSvH1YVzZZ4U0Ju6D6x4p-Jt4kmGLJdkqkHM/edit,,,,,,
Expanding Greetings ,Monday,17/03/2025,17/03 - Expanding Greetings,Original - Homework - 17/03,,,https://docs.google.com/presentation/u/0/d/1gcjR2rtnASYHyb1Hmk14ssPhtUs2JJT834AEazpXcUw/edit,,,,,,
Numbers,Friday,21/03/2025,21/03 - Numbers and Going into a shop,Original - Homework - 21/03,,,https://docs.google.com/presentation/u/0/d/1KidhehsZwAcxMk9XIu2d7VYcrKsdHwIDgwWsYf5uYI0/edit,,,,,,
Numbers and Shopping,Monday,24/03/2025,24/03 - Numbers & Shopping II,Original - Homework - 24/03,,,https://docs.google.com/presentation/u/0/d/1xknqRwMfa6bywtIIG5LFfZYavKtXlfSPfhkVa888snU/edit,,,,,,
More numbers and Shopping,Friday,28/03/2025,28/03 - More numbers and Shopping,Original - Homework - 28/03,,,https://docs.google.com/presentation/u/0/d/1u0AbLFXc_cp1oy5NccvhgjC8b_0VfXD9VG7TXFtD0Qc/edit,,,,,,
Clothes & Colours ,Monday,31/03/2025,31/03 - Shopping & Colours,Original - Homework - 31/03,Faltas: Zilda. Fechamento do primeiro mes de aulas.,,https://docs.google.com/presentation/u/0/d/1_EN0eQHS3osJ8Z93lb7x4ovQWTF2bvOv0PF6SmxR7pc/edit,,,,,,
"Shopping Clothes, Coulours and Grammar rules",Friday,04/04/2025,04/04 - Shopping Clothes and Colours,Original - Homework - 04/04,,,https://docs.google.com/presentation/u/0/d/1YALRAZRSJDL1CbvsUKI34fKrcg2PbSanz8NBzEPh5d4/edit,,,,,,
General Review,Monday,07/04/2025,07/04 - Review TIme,Original -  Holiday Practice Pack - 07/04,Extra Resources ,,https://docs.google.com/presentation/u/0/d/1pbrUvcG5TaE7t9qUDBnsBlgpKz1hSMn8HMga0SXdBaU/edit,,,,,,
Break Homework Review,Monday,21/04/2025,21/04 - Break Homework Review,,No Homework,,https://docs.google.com/presentation/u/0/d/1nTx2QAHbiRJdFPiyK6R7t6esH7tXCLBuy29Ef5DPNoo/edit,,,,,,
To Have and simple adjectives,Monday,28/04/2025,28/04 - To Have and simple adjectives,Original - Homework - 28/04,Fechamento mes de aulas,,https://docs.google.com/presentation/u/0/d/14c2OWcTeKpj9AgdQ85U4oOcfK81BukkF-EK9yJfQPBY/edit,,,,,,
"To like, Places and Yes and No questions ",Friday,02/05/2025,"02/05 - ""To like"" + common nouns: places",Original - Homework - 02/05,,,https://docs.google.com/presentation/u/0/d/1W1e89sCyq0KoscIh_iWlqO63-iLUPrj048LVwBb0htU/edit,,,,,,
"Questions and ""To go""",Monday,05/05/2025,05/05 - Questions: Y/N answer and WH - questions,Original - Homework - 05/05,,,https://docs.google.com/presentation/u/0/d/1inj1C-C0RH9SWBgQ9HgYbq_Uv7_4q2SlEYiI0LJ8E-8/edit,,,,,,
